name,status,detail,size_orig,size_compiled,first_diff_offset
icitizen_unosha.bin,LIFT_ERROR,JumpB target 0x35f not in current body,27868,0,
icitizen_wasted_girl.bin,LIFT_ERROR,unstructured Jump at 0x400 -> 0x414,25275,0,
icitizen_wasted_male.bin,LIFT_ERROR,JumpB target 0x35f not in current body,27868,0,
icitizen_woman.bin,LIFT_ERROR,unstructured Jump at 0x666 -> 0x67a,36346,0,
icitizen_worker.bin,LIFT_ERROR,JumpB target 0xb8d not in current body,53884,0,
indoor_butcher.bin,LIFT_ERROR,JumpB target 0x223 not in current body,23794,0,
indoor_door.bin,OK_ROUNDTRIP,,1756,1756,
indoor_littlegirl.bin,LIFT_ERROR,unstructured Jump at 0x482 -> 0x496,21731,0,
indoor_morlok.bin,LIFT_ERROR,JumpB target 0x223 not in current body,24124,0,
intro_exit.bin,OK_ROUNDTRIP,,190,190,
intro_light.bin,OK_ROUNDTRIP,,417,417,
item_alpha_pills.bin,OK_ROUNDTRIP,,1421,1421,
item_balahon.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_bandage.bin,OK_ROUNDTRIP,,625,625,
item_beta_pills.bin,OK_ROUNDTRIP,,1421,1421,
item_black_vaccine.bin,OK_ROUNDTRIP,,932,932,
item_blue_vaccine.bin,OK_ROUNDTRIP,,932,932,
item_boot_army.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_boot_repel.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_bottle_water.bin,OK_ROUNDTRIP,,1908,1908,
item_bread.bin,OK_ROUNDTRIP,,670,670,
item_burah_serum.bin,OK_ROUNDTRIP,,338,338,
item_cloak_repel.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_coffee.bin,OK_ROUNDTRIP,,1470,1470,
item_delta_pills.bin,OK_ROUNDTRIP,,1421,1421,
item_drapery.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_dried_fish.bin,OK_ROUNDTRIP,,670,670,
item_dried_meat.bin,OK_ROUNDTRIP,,670,670,
item_egg.bin,OK_ROUNDTRIP,,670,670,
item_etorfin.bin,OK_ROUNDTRIP,,1501,1501,
item_feromicin.bin,OK_ROUNDTRIP,,1065,1065,
item_fresh_fish.bin,OK_ROUNDTRIP,,670,670,
item_fresh_meat.bin,OK_ROUNDTRIP,,670,670,
item_funduk.bin,OK_ROUNDTRIP,,670,670,
item_gamma_pills.bin,OK_ROUNDTRIP,,1421,1421,
item_glove.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_glove_army.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_glove_disp.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_grass_combination.bin,OK_ROUNDTRIP,,1395,1395,
item_halfboot_repel.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_lemon.bin,OK_ROUNDTRIP,,1466,1466,
item_lens.bin,OK_ROUNDTRIP,,415,415,
item_mask.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_meradorm.bin,OK_ROUNDTRIP,,1501,1501,
item_milk.bin,OK_ROUNDTRIP,,674,674,
item_monomicin.bin,OK_ROUNDTRIP,,1065,1065,
item_morfin.bin,OK_ROUNDTRIP,,1501,1501,
item_neomicin.bin,OK_ROUNDTRIP,,1065,1065,
item_novocaine.bin,OK_ROUNDTRIP,,1501,1501,
item_organ_combination.bin,OK_ROUNDTRIP,,1411,1411,
item_packet.bin,OK_ROUNDTRIP,,625,625,
item_peanut.bin,OK_ROUNDTRIP,,670,670,
item_powder.bin,OK_ROUNDTRIP,,576,576,
item_raincoat_repel.bin,BIN_MISMATCH,,3847,3824,0x1a2
item_rusk.bin,OK_ROUNDTRIP,,670,670,
item_smoked_meat.bin,OK_ROUNDTRIP,,670,670,
item_tourniquet.bin,OK_ROUNDTRIP,,625,625,
item_tvirin.bin,OK_ROUNDTRIP,,1627,1627,
item_vegetables.bin,OK_ROUNDTRIP,,670,670,
item_walnut.bin,OK_ROUNDTRIP,,670,670,
item_white_vaccine.bin,OK_ROUNDTRIP,,932,932,
k2system_albinos.bin,OK_ROUNDTRIP,,12523,12523,
k2system_burah.bin,OK_ROUNDTRIP,,16895,16895,
k2system_danko.bin,OK_ROUNDTRIP,,16685,16685,
k2system_hunter.bin,LIFT_ERROR,JumpB target 0x132 not in current body,18149,0,
k2system_klara2.bin,OK_ROUNDTRIP,,16808,16808,
k2system_rat.bin,LIFT_ERROR,JumpB target 0x206 not in current body,13299,0,
k2system_rat_big.bin,LIFT_ERROR,JumpB target 0x206 not in current body,14411,0,
k2system_retreater.bin,LIFT_ERROR,unstructured Jump at 0x115 -> 0x129,20803,0,
k2system_waiter.bin,OK_ROUNDTRIP,,2128,2128,
kabak_smoke.bin,OK_ROUNDTRIP,,829,829,
klara2_npc_positioner.bin,OK_ROUNDTRIP,,5714,5714,
klara2_positioner.bin,OK_ROUNDTRIP,,5304,5304,
klara2_svita_positioner.bin,OK_ROUNDTRIP,,5016,5016,
kolonka_water.bin,OK_ROUNDTRIP,,1724,1724,
light_broken.bin,OK_ROUNDTRIP,,248,248,
light_fire.bin,OK_ROUNDTRIP,,535,535,
littleboy_mnogogrannik.bin,LIFT_ERROR,unstructured Jump at 0x4ac -> 0x4c0,22355,0,
littlegirl_mnogogrannik.bin,LIFT_ERROR,unstructured Jump at 0x4ac -> 0x4c0,22355,0,
microscope.bin,OK_ROUNDTRIP,,288,288,
mtrigger_actor.bin,OK_ROUNDTRIP,,389,389,
mtrigger_scene.bin,OK_ROUNDTRIP,,334,334,
music.bin,BIN_MISMATCH,,3716,3676,0x4
nudegirl_dance.bin,BIN_MISMATCH,,1480,1493,0x115
outdoor_door.bin,OK_ROUNDTRIP,,1486,1486,
outdoor_door_npc.bin,OK_ROUNDTRIP,,2043,2043,
outdoor_door_theater.bin,OK_ROUNDTRIP,,2211,2211,
pather.bin,LIFT_ERROR,JumpB target 0x71 not in current body,3293,0,
patrol_stationary.bin,LIFT_ERROR,JumpB target 0x3cf not in current body,35750,0,
patrol_wanderer.bin,LIFT_ERROR,JumpB target 0x2f9 not in current body,31465,0,
patrol_wanderer_soldier.bin,LIFT_ERROR,JumpB target 0x1ed not in current body,26697,0,
play_death_burah.bin,LIFT_ERROR,subblock unbalanced stack: depth 9 -> 10,814,0,
play_death_danko.bin,LIFT_ERROR,subblock unbalanced stack: depth 9 -> 10,814,0,
play_death_klara.bin,LIFT_ERROR,subblock unbalanced stack: depth 9 -> 10,814,0,
player_burah.bin,LIFT_ERROR,JumpB target 0xa89 not in current body,36292,0,
player_danko.bin,LIFT_ERROR,JumpB target 0xa89 not in current body,36292,0,
player_disease.bin,LIFT_ERROR,subblock unbalanced stack: depth 20 -> 21,4334,0,
player_eyes_height.bin,OK_ROUNDTRIP,,749,749,
player_final.bin,OK_ROUNDTRIP,,2421,2421,
player_flashlight.bin,OK_ROUNDTRIP,,1219,1219,
player_gifts.bin,OK_ROUNDTRIP,,4911,4911,
player_head.bin,OK_ROUNDTRIP,,544,544,
player_hit.bin,OK_ROUNDTRIP,,4280,4280,
player_intro.bin,OK_ROUNDTRIP,,2421,2421,
player_klara.bin,LIFT_ERROR,JumpB target 0x32c not in current body,23370,0,
player_klara_dream.bin,OK_ROUNDTRIP,,862,862,
player_reputation_decrease.bin,OK_ROUNDTRIP,,1196,1196,
player_stat.bin,OK_ROUNDTRIP,,1880,1880,
player_vis.bin,OK_ROUNDTRIP,,639,639,
player_visir.bin,BIN_MISMATCH,,1432,1455,0xc5
quest_b10_01.bin,OK_ROUNDTRIP,,4814,4814,
quest_b10_01_butcher.bin,LIFT_ERROR,JumpB target 0x20a not in current body,21856,0,
quest_b10_01_cutscene.bin,OK_ROUNDTRIP,,2133,2133,
quest_b10_01_effect.bin,OK_ROUNDTRIP,,1107,1107,
quest_b10_01_stone.bin,OK_ROUNDTRIP,,670,670,
quest_b10_02.bin,OK_ROUNDTRIP,,1645,1645,
quest_b10_02_bomb.bin,OK_ROUNDTRIP,,1066,1066,
quest_b10_02_trigger.bin,OK_ROUNDTRIP,,3322,3322,
quest_b10_03.bin,OK_ROUNDTRIP,,2854,2854,
quest_b10_03_blood.bin,OK_ROUNDTRIP,,1660,1660,
quest_b10_03_toy.bin,OK_ROUNDTRIP,,2588,2588,
quest_b10_04.bin,OK_ROUNDTRIP,,4933,4933,
quest_b10_04_bigvlad.bin,OK_ROUNDTRIP,,10084,10084,
quest_b10_04_bull.bin,OK_ROUNDTRIP,,1017,1017,
quest_b10_04_girl_laska.bin,OK_ROUNDTRIP,,8720,8720,
quest_b10_04_klara.bin,OK_ROUNDTRIP,,4268,4268,
quest_b10_04_laska.bin,OK_ROUNDTRIP,,11218,11218,
quest_b10_04_mladvlad.bin,OK_ROUNDTRIP,,10595,10595,
quest_b10_04_morlok.bin,OK_ROUNDTRIP,,13877,13877,
quest_b10_04_morlok_laska.bin,OK_ROUNDTRIP,,13066,13066,
quest_b10_04_morlok_mishka.bin,OK_ROUNDTRIP,,12861,12861,
quest_b10_04_morlok_spi4ka.bin,OK_ROUNDTRIP,,12861,12861,
quest_b10_04_officer.bin,OK_ROUNDTRIP,,7939,7939,
quest_b11_01.bin,OK_ROUNDTRIP,,4540,4540,
quest_b11_01_anna.bin,OK_ROUNDTRIP,,11773,11773,
quest_b11_01_birdmask.bin,OK_ROUNDTRIP,,6500,6500,
quest_b11_01_death_effect.bin,OK_ROUNDTRIP,,753,753,
quest_b11_01_julia.bin,OK_ROUNDTRIP,,11593,11593,
quest_b11_01_klara.bin,OK_ROUNDTRIP,,13112,13112,
quest_b11_01_klara_laska.bin,OK_ROUNDTRIP,,15473,15473,
quest_b11_01_lara.bin,OK_ROUNDTRIP,,12111,12111,
quest_b11_01_starshina.bin,LIFT_ERROR,JumpB target 0x124 not in current body,19424,0,
quest_b11_01_well_trigger.bin,OK_ROUNDTRIP,,573,573,
quest_b11_02.bin,OK_ROUNDTRIP,,2881,2881,
quest_b11_02_doberman.bin,OK_ROUNDTRIP,,8399,8399,
quest_b11_04.bin,OK_ROUNDTRIP,,3550,3550,
quest_b11_04_corpse.bin,OK_ROUNDTRIP,,664,664,
quest_b11_04_officer.bin,OK_ROUNDTRIP,,9165,9165,
quest_b11_04_sanitar.bin,LIFT_ERROR,subblock unbalanced stack: depth 16 -> 17,3657,0,
quest_b11_04_sanitar_main.bin,OK_ROUNDTRIP,,10189,10189,
quest_b12_01.bin,OK_ROUNDTRIP,,15459,15459,
quest_b12_01_aglaja.bin,OK_ROUNDTRIP,,17256,17256,
quest_b12_01_birdmask_s.bin,OK_ROUNDTRIP,,12955,12955,
quest_b12_01_birdmask_t.bin,OK_ROUNDTRIP,,11719,11719,
quest_b12_01_block.bin,OK_ROUNDTRIP,,11935,11935,
quest_b12_01_danko.bin,OK_ROUNDTRIP,,10181,10181,
quest_b12_01_hidden_room_cutscene.bin,OK_ROUNDTRIP,,1821,1821,
quest_b12_01_kapella.bin,OK_ROUNDTRIP,,9246,9246,
quest_b12_01_klara.bin,OK_ROUNDTRIP,,9069,9069,
quest_b12_01_klara_t2.bin,OK_ROUNDTRIP,,18854,18854,
